"year","country","population_density","urban_population","urban_population_growth","population_living_in_slums","rural_population","rural_population_growth","people_using_safely_managed_sanitation_services_rural","people_using_at_least_basic_sanitation_services","people_using_at_least_basic_sanitation_services_rural","people_using_at_least_basic_sanitation_services_urban","che_gdp","dgghe_gdp","dgghe_gge","dphe_che","ehe_che","ope_che","malaria_incidence_rate"
2006,"Cameroon",37.12721753,49.143,3.981114363,55.55619,50.857,1.571789399,4.1025515395,39.27077068,23.62999674,55.45705862,3.74,0.65,5.18,78,4.66,74.36,426
2006,"Chad",8.502560356,21.834,3.748923521,88.20191,78.166,3.555419689,5.494082476,10.19211109,5.906008098,25.53641652,3.54,0.72,7.14,68.43,11.12,63.66,241.5
2006,"Benin",77.09508691,41.049,4.360992201,70.68586,58.951,2.265998659,0.786267821,11.30074001,3.957529746,21.84641892,3.29,1.08,8.31,49.06,18.06,45.67,500
2007,"Niger",11.68675298,16.234,3.656477585,70.21202,83.766,3.685882453,2.919408115,8.995426191,4.592198866,31.71568751,5.39,1.5,8.63,58.98,13.15,53.41,315.4
2007,"Nigeria",168.2831681,40.819,4.94122191,66.56972,59.181,1.302445148,23.44985151,32.2676934,29.60212037,36.13234484,3.91,0.78,4.29,74.19,5.9,70.94,400.6
2007,"Cameroon",38.18386749,49.746,4.025833954,55.55619,50.254,1.613523922,4.192658244,39.50087116,23.52520945,55.63967386,3.79,0.57,4.23,79.96,5.05,75.57,410.7
2007,"Chad",8.800555909,21.868,3.600321473,88.20191,78.132,3.401258117,5.465908373,10.27674563,5.873574817,26.00880142,3.15,0.74,5.99,70.16,6.29,64.92,235.8
2007,"Benin",79.40731642,41.558,4.187437922,70.68586,58.442,2.087927589,0.851201093,11.79830153,4.28723644,22.36092809,2.94,0.97,6.12,52.07,15,48.28,486.8
2008,"Niger",12.12750849,16.229,3.671222685,70.27001,83.771,3.708002337,3.12274206,9.48812752,4.930034576,33.01613285,5.22,1.55,9.19,57.94,12.38,52.46,351.8
2008,"Nigeria",173.0349199,41.702,4.92467767,64.0572,58.298,1.281257566,23.67278547,33.05207425,29.89833848,37.46089249,3.7,0.66,4.59,76.06,6.06,72.76,402
2008,"Cameroon",39.292708,50.35,4.069441459,52.28699,49.65,1.653408219,4.280238165,39.73290932,23.41682847,55.82215455,3.66,0.55,3.46,78.84,6.11,74.25,392.8
2008,"Chad",9.113958069,21.901,3.650045103,87.07463,78.099,3.456965648,5.43773427,10.36151726,5.841141537,26.48118633,2.95,0.58,4.23,74.55,5.86,68.82,237.5
2008,"Benin",81.84166371,42.069,4.24170497,70.29258,57.931,2.14137617,0.918415589,12.30711786,4.628574366,22.88083443,2.65,0.74,5.1,48,24,44,465.4
2009,"Niger",12.58678061,16.225,3.692427214,70.27001,83.775,3.721855823,3.321022438,9.97724247,5.259533243,34.33632406,5.33,1.54,8.69,59.18,11.97,53.62,377.4
2009,"Nigeria",177.9257815,42.588,4.889651621,64.0572,57.412,1.255863528,23.89433158,33.86028654,30.19315555,38.80387007,3.58,0.57,3.69,77.86,6.22,74.47,390
2009,"Cameroon",40.43488397,50.954,4.057855696,52.28699,49.046,1.641417705,4.330488083,39.96663319,23.30485378,56.00450069,3.5,0.45,3.05,81.48,5.72,76.77,351.6
2009,"Chad",9.445484435,21.934,3.723517885,87.07463,78.066,3.530711405,5.339953728,10.48358506,5.733965858,27.38810543,3.18,0.66,3.55,71.02,8.13,65.01,244.9
2009,"Benin",84.33330082,42.58,4.2063912,70.29258,57.42,2.113038151,0.987911308,12.82673584,4.981543523,23.40613792,2.89,0.87,5.11,45.44,24.52,42.6,444
2010,"Niger",13.06452593,16.221,3.700722492,70.32799,83.779,3.730119918,3.514249248,10.4624965,5.58069487,35.67626115,5.02,1.31,9.18,61.63,12.25,55.9,410.1
2010,"Nigeria",182.9692304,43.48,4.868003078,61.54467,56.52,1.229271186,24.11448984,34.69313327,30.4865716,40.16127759,3.3,0.45,2.7,80.14,6.26,76.88,363.4
2010,"Cameroon",41.60704449,51.559,4.038015008,49.01779,48.441,1.616452634,4.3785737415,40.20242957,23.1892854,56.18671229,3.58,0.41,2.68,80.64,8,76.02,295.4
2010,"Chad",9.778093234,21.985,3.693031137,85.94735,78.015,3.395416216,5.242898235,10.6144009,5.627624837,28.31025572,3.04,0.64,3.5,73.07,5.95,67.58,244.8
2010,"Benin",86.88793899,43.093,4.181845722,69.89931,56.907,2.086800117,1.055800454,13.35743186,5.346143911,23.93683858,3.01,0.75,5.34,45.56,29.45,43.51,414.4
2011,"Niger",13.55986658,16.216,3.690534518,70.32799,83.784,3.727354717,3.70242249,10.94357489,5.893519455,37.03594411,4.87,1.27,8.3,63.16,10.73,57.74,424
2011,"Nigeria",188.1700078,44.366,4.820019186,61.54467,55.634,1.222782582,24.33326024,35.54993987,30.77858661,41.53311503,3.32,0.48,2.77,77.71,7.86,74.73,339.5
2011,"Cameroon",42.80066849,52.164,3.995005764,49.01779,47.836,1.571615166,4.424495141,40.44003965,23.07012332,56.36878934,3.85,0.57,3.21,72.97,12.16,69.65,266.5
