year,country,population_density,urban_population_growth,population_living_in_slums,rural_population_growth,people_using_safely_managed_sanitation_services_rural,people_using_at_least_basic_sanitation_services,che_gdp,ope_che,malaria_incidence_rate
2009,Benin,84.33330082,4.2063912,70.29258,2.113038151,0.987911308,12.82673584,2.89,42.6,444
2010,Niger,13.06452593,3.700722492,70.32799,3.730119918,3.514249248,10.4624965,5.02,55.9,410.1
2010,Nigeria,182.9692304,4.868003078,61.54467,1.229271186,24.11448984,34.69313327,3.3,76.88,363.4
2010,Cameroon,41.60704449,4.038015008,49.01779,1.616452634,4.378573742,40.20242957,3.58,76.02,295.4
2010,Chad,9.778093234,3.693031137,85.94735,3.395416216,5.242898235,10.6144009,3.04,67.58,244.8
2010,Benin,86.88793899,4.181845722,69.89931,2.086800117,1.055800454,13.35743186,3.01,43.51,414.4
2011,Niger,13.55986658,3.690534518,70.32799,3.727354717,3.70242249,10.94357489,4.87,57.74,424
2011,Nigeria,188.1700078,4.820019186,61.54467,1.222782582,24.33326024,35.54993987,3.32,74.73,339.5
2011,Cameroon,42.80066849,3.995005764,49.01779,1.571615166,4.424495141,40.44003965,3.85,69.65,266.5
2011,Chad,10.12944489,3.843545091,85.94735,3.441722596,5.146567792,10.7545445,2.93,60.77,228.4
2011,Benin,89.51421603,4.165819026,69.89931,2.068722848,1.120339686,13.89912041,3,44.51,381.4
2012,Niger,14.08128918,3.748578535,70.38598,3.778020042,3.885542165,11.42108661,4.31,60.81,428
2012,Nigeria,193.4633607,4.738315972,59.03215,1.179818636,24.55064279,36.43093333,3.36,72.84,316.2
2012,Cameroon,44.02176599,3.966174007,45.74859,1.540246478,4.468252282,40.67952792,3.93,66.84,261.8
2012,Chad,10.49158037,3.91087673,84.82007,3.399693696,5.050962398,10.90485537,2.96,59.43,215.9
2012,Benin,92.21050905,4.14625433,69.50603,2.04664078,1.18671753,14.4517136,3.08,41.53,364.5
2013,Niger,14.62058735,3.733693354,70.38598,3.763146418,4.063608273,11.89472651,4.47,56.54,416.7
2013,Nigeria,198.7872273,4.623595585,59.03215,1.109294756,24.76663748,37.33607524,3.42,70.93,297.8
2013,Cameroon,45.27591124,3.947206028,45.74859,1.522023077,4.509845163,40.92061447,3.63,69.72,272.7
2013,Chad,10.8728391,4.047062438,84.82007,3.433241464,4.956082053,11.06571519,3.12,58.64,208.4
2013,Benin,94.97014899,4.11372218,69.50603,2.019256559,1.254933987,15.01474407,2.87,42.58,362
2014,Niger,15.17005526,3.757118758,70.44397,3.676153504,4.236620813,12.36965957,4.45,54.67,410.1
2014,Nigeria,204.109616,4.498336623,56.51963,1.025714283,24.98124432,38.26551223,3.35,71.85,287.7
2014,Cameroon,46.6668634,4.149374814,42.47939,1.72424171,4.549273786,41.16335571,4.34,68.98,274.6
2014,Chad,11.26800985,4.125800055,83.69279,3.410376222,4.861926758,11.23774965,3.29,55.72,211.9
2014,Benin,97.81841078,4.121966988,69.11276,2.003943353,1.324989056,15.58945707,2.69,46.49,369.5
2015,Niger,15.7412947,3.868895681,70.44397,3.662979543,4.404579786,12.84711594,5.35,51.69,404.9
2015,Nigeria,209.3523919,4.341748348,56.51963,0.908452075,25.1944633,39.21938255,3.58,71.89,283.8
2015,Cameroon,48.15513528,4.248478199,42.47939,1.82270284,4.586538149,41.40780378,4.13,73.83,273.4
2015,Chad,11.63248173,3.820524062,83.69279,2.998977751,4.768496511,11.42187892,3.42,56.72,214.4
2015,Benin,100.7509844,4.118333989,69.11276,1.984512167,1.396882736,16.17540036,2.73,51.41,392.8
2016,Niger,16.33042788,3.938578554,70.44397,3.622906254,4.567485191,13.32697458,4.53,58.51,389.3
2016,Nigeria,214.5917191,4.222790935,54.00711,0.838614948,25.40629443,40.19732734,3.65,75.19,284.8
2016,Cameroon,49.61638425,4.084486646,39.21019,1.657357133,4.621638253,41.65401211,4.02,73.39,270.6
2016,Chad,12.00337913,3.85561793,82.56551,2.929399242,4.675791315,11.61879115,3.6,55.15,212.9
2016,Benin,103.7410607,4.086441104,68.71948,1.936403678,1.470615029,16.77249285,2.8,48.86,419.9
2017,Niger,16.9222752,3.927710767,70.44397,3.488370127,4.725337029,13.81056598,5.58,48.31,367.8
2017,Nigeria,219.8739298,4.134364003,54.00711,0.789203531,25.61673771,41.19971911,3.75,77.39,289
2017,Cameroon,51.04313638,3.91291866,39.21019,1.491814793,4.654574098,41.90133205,3.79,78.46,260
2017,Chad,12.40689247,4.101394995,82.56551,3.072037835,4.583811167,11.82919278,3.51,59.88,215.4
2017,Benin,106.7735012,4.040370333,68.71948,1.873720615,1.546185934,17.38065393,2.67,50.78,418.7
2018,Niger,17.51643562,3.908550076,70.44397,3.361180442,4.878135299,14.29777602,5.3,48.96,349.8
2018,Nigeria,225.0170241,3.964473973,51.49458,0.6643926,25.82579312,42.22626064,3.09,75.95,291.1
2018,Cameroon,52.47695839,3.834951846,35.94099,1.411143912,4.685345684,42.15050117,3.62,72.26,248.8
2018,Chad,12.83079018,4.235052707,82,3.098663587,4.492556069,12.05411974,3.29,64.38,223.5
2018,Benin,109.8203884,3.970120607,68.3262,1.78643971,1.623595452,17.99980309,2.89,45.57,409.3
2019,Niger,18.11617352,3.925115991,70.44397,3.256405482,5.025880002,14.79003828,5.67,46.1,332.6
2019,Nigeria,230.0093778,3.796390324,51.49458,0.543586791,26.03346069,43.27675278,2.99,71.5,293
2019,Cameroon,53.95717247,3.829810296,35.94099,1.410715182,4.713953011,42.40085801,3.65,72.19,242.5
2019,Chad,13.25065359,4.169474477,82,2.93356497,4.40202602,12.2940189,3.38,63.7,216
2019,Benin,112.8658656,3.889088578,68.3262,1.687939924,1.702843581,18.62985459,2.51,50.89,401.1
2020,Niger,18.72393858,3.957524142,70.44397,3.169124683,5.168571138,15.28807749,6.17,43.55,330.8
2020,Nigeria,234.9618246,3.683934182,48.98206,0.476752107,26.23974039,44.35114641,3.38,74.68,304.4
2020,Cameroon,55.44743712,3.758304031,32.67179,1.339215068,4.74039608,42.65279948,4.25,71.88,253.9
2020,Chad,13.67906528,4.211929925,82,2.86734647,4.312221021,12.55032072,4.45,69.76,208.4
2020,Benin,115.9113959,3.813467783,67.93293,1.594370681,1.783930323,19.27072233,2.71,46.81,378.3
2021,Niger,19.3432857,4.003271756,70.44397,3.104213665,5.372710663,15.88156173,5.81,42.53,304.2
2021,Nigeria,239.9390472,3.601410454,48.98206,0.44235512,26.44463225,45.44915489,4.08,76.24,299.3
2021,Cameroon,56.93926086,3.671322489,32.67179,1.259785943,4.797925867,42.90563215,4.31,70.63,262.4
2021,Chad,14.15841248,4.547817705,82,3.102390225,4.22314107,12.82351803,4.18,69.48,207
2021,Benin,118.9554541,3.736215565,67.93293,1.506647586,1.783930323,19.38161441,2.58,48.63,379
