"year","country","population_density","urban_population_growth","population_living_in_slums","rural_population_growth","people_using_safely_managed_sanitation_services_rural","people_using_at_least_basic_sanitation_services","che_gdp","ope_che","malaria_incidence_rate","log_malaria_incidence","lag1_malaria","lag2_malaria","lag3_malaria"
2000,"Niger",-0.876371193375444,-0.239633605493807,0.194828776988602,1.01057485746404,-0.755759201940937,-1.2473660765903,0.995661023187022,-0.073714452118836,359.2,5.88665943274186,NA,NA,NA
2000,"Nigeria",1.03078613913865,0.387354741491374,0.493321487984757,-0.472738118508338,1.71462453672574,0.425002034001949,-0.734500572448611,-0.104722443449895,401.8,5.99844016084441,NA,NA,NA
2000,"Cameroon",-0.546043615389464,-0.308483249104183,-0.148043492617953,-0.781076586532755,0.0986525478701803,1.19154373328124,0.542799934396487,1.56514908970214,392.4,5.97482690595496,NA,NA,NA
2000,"Chad",-0.910585063136193,-1.19149959876748,1.77527977110786,1.05818769210831,-0.232302502468136,-0.936835222107434,0.206057073500961,-0.464050342992168,270.9,5.60543435163842,NA,NA,NA
2000,"Benin",-0.0681142186410778,-0.42391782890995,0.328892439570562,0.220512652918296,-0.848611744578782,-1.01771874112565,-1.01318431939663,-0.583522309591248,412.5,6.02465751446375,NA,NA,NA
2001,"Niger",-0.871599134629864,-0.281768151969925,0.194828776988602,1.06182589891778,-0.724619298133671,-1.20966237045131,1.07694378271353,-0.0810104500790851,350.7,5.86277853947994,359.2,NA,NA
2001,"Nigeria",1.08698181478526,2.55800302310453,0.493321487984757,-0.883702022661567,1.7061912144358,0.427924276399258,-0.746112395238112,-0.0509144584930573,394.5,5.98015078720771,401.8,NA,NA
2001,"Cameroon",-0.53369662210156,-0.374702184446719,-0.148043492617953,-0.797300482623722,0.0986525478701803,1.19405959936751,0.391846238132975,1.25780517562664,422.9,6.04949757835859,392.4,NA,NA
2001,"Chad",-0.907174280783935,-1.41263516996825,1.77527977110786,0.9742382452515,-0.236415868353386,-0.930700954072192,0.0551033772374494,-0.278002395005813,275.4,5.62184909189352,270.9,NA,NA
2001,"Benin",-0.0389017591243188,-0.50567247176413,0.328892439570562,0.197637231688864,-0.842567379230376,-0.988060619014077,-0.618382344553603,-1.11704216043447,428.3,6.06215597523051,412.5,NA,NA
2002,"Niger",-0.866624126644081,-1.4767747062128,0.199082542387219,1.17652109035996,-0.693479394444353,-1.17327169123732,1.19306201060854,-0.153970429681577,327.9,5.79575375319501,350.7,359.2,NA
2002,"Nigeria",1.14526527683046,2.55398615260625,0.309019528348053,-0.890840712780937,1.73136922640469,0.476471862238599,-1.55893999050317,0.341245431870336,381.7,5.94725139243166,394.5,401.8,NA
2002,"Cameroon",-0.520752935733929,-0.265727325507042,-0.38785052557463,-0.75926947657107,0.0986525478701803,1.19683305726993,0.229280719079963,0.809101301071316,432.3,6.07143032874586,422.9,392.4,NA
2002,"Chad",-0.903529475845396,-1.14205421576236,1.69258991667515,1.08327095786622,-0.239738953105142,-0.92455501887228,1.73881768171508,0.31297343977437,241.6,5.49141399650995,275.4,270.9,NA
2002,"Benin",-0.00892591537314716,-0.10428327959434,0.300044002668199,0.0701722421917484,-0.836253947616054,-0.956735671395773,-0.85061880034362,-0.869890229531028,446.5,6.10367653771491,428.3,412.5,NA
2003,"Niger",-0.86142453925443,-1.38159456301241,0.199082542387219,1.20553557033198,-0.662339490755035,-1.13686726362882,1.10016742829253,-0.00531447124149991,298.9,5.70344908575496,327.9,350.7,359.2
2003,"Nigeria",1.2055068270036,2.51931295604289,0.309019528348053,-0.907079882071838,1.75800376418977,0.526542800430023,1.41368664360905,1.04895723401451,382.1,5.9482960517066,381.7,394.5,401.8
2003,"Cameroon",-0.507225156824541,-0.183537441145819,-0.38785052557463,-0.728229878520891,0.0986525478701803,1.21345328927941,0.0783270228164512,0.931309266905489,436.3,6.08061945841887,432.3,422.9,392.4
2003,"Chad",-0.899188886783548,0.189018030949858,1.69258991667515,1.58454323836592,-0.243062037856898,-0.918371565132883,0.240892541869464,-1.26661011861958,238.7,5.47938814144034,241.6,275.4,270.9
2003,"Benin",0.0220690784727938,0.637383177459285,0.300044002668199,-0.109517173643265,-0.829671449853764,-0.923136804046164,-0.827395154764618,-0.878098227236309,465.9,6.14611510197689,446.5,428.3,412.5
2004,"Niger",-0.855980994931297,-1.28912568163801,0.203336307785836,1.24081044662512,-0.632234473895499,-1.10046598480128,1.36723935245105,-0.119314439370393,302.8,5.71636959016167,298.9,327.9,350.7
2004,"Nigeria",1.26774659148387,2.47605585235497,0.124716835177051,-0.92420480382361,1.78495320361921,0.578183247100528,0.925990086450017,0.295645444618779,390.1,5.96896328176147,382.1,381.7,394.5
2004,"Cameroon",-0.493220278615281,-0.162856837858982,-0.627657558531307,-0.725156579132887,0.0986525478701803,1.23022009508163,-0.119073964605064,1.14745320647787,435.3,6.07833008012956,436.3,432.3,422.9
2004,"Chad",-0.894140962526779,1.36945535046728,1.60990006224245,2.03436218667772,-0.246385122608653,-0.912163290885968,0.240892541869464,-0.939202210153396,235.7,5.46679351651994,238.7,241.6,275.4
2004,"Benin",0.0541570434648256,0.647809536767833,0.271196299300136,-0.108859313325051,-0.822819885825558,-0.888663088197271,-0.699665104080109,-1.16081814819596,488.1,6.19256696754531,465.9,446.5,428.3
2005,"Niger",-0.850287781179803,-1.22387287668399,0.203336307785836,1.27280805636168,-0.606463423445873,-1.06294209074481,2.14523147934761,-1.01945818771614,310.5,5.74139933822751,302.8,298.9,327.9
