"Model","rmse","mae","r2"
"LMM",0.0814287842538029,0.0652159725557835,0.907069702472117
"GAM",0.0506244825886979,0.0393725570271089,0.964081133662318
"RF",18.2956821178962,15.584069848485,0.957009656097744
"GB",17.4643223267772,13.0807413274592,0.960827870289102
