"country","mean_incidence","sd_incidence","min_incidence","max_incidence","skewness","kurtosis"
"Benin",424.127272727273,45.0582499376739,362,502.4,0.349893300200424,1.92266419795969
"Cameroon",332.586363636364,78.2732229069586,242.5,436.3,0.265939437961481,1.24984488923747
"Chad",230.404545454545,19.1641897514914,207,275.4,0.752791259288593,2.99915064547138
"Niger",357.740909090909,43.8057471668785,298.9,428,0.220129420769984,1.65976657954103
"Nigeria",344.877272727273,49.195198486362,283.8,402,-0.0590069670619548,1.19015069228771
