"country","rmse","mae","r2"
"Niger",35.710510422207,33.3661765268177,-6.56390374830689
"Nigeria",16.1046624132285,14.6730146714463,-10.930089762836
"Cameroon",12.4683031497037,11.4149351191322,-1.33881724264686
"Chad",15.6771424495938,13.9258046556131,-14.7188399549723
"Benin",22.0474439554857,21.1364167968691,-3.3369035278987
